# name:     zircon                                               Feff 8.50L  
# formula:  ZrSiO4
# sites:    Zr1,Si1,O1
# refer1:   wyckoff XII,157
# refer2:
# schoen:
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=14 Rmt= 0.991 Rnm= 1.189 K  shell
# Pot 1 Z=40 Rmt= 1.490 Rnm= 1.564
# Pot 2 Z=14 Rmt= 0.992 Rnm= 1.193
# Pot 3 Z= 8 Rmt= 0.932 Rnm= 1.037
# Gam_ch=4.153E-01 H-L exch
# Mu= 4.092E+00 kf=2.491E+00 Vint=-1.954E+01 Rs_int= 1.456
# PATH  Rmax= 4.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.938                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.6123
#           2       0.00000      5.36      4.00     3   2.8231
#           3       0.00000     16.42      8.00     3   2.9785
#           4       0.00000     18.03      2.00     2   3.0075
#           5       0.00000     21.98      4.00     4   3.2246
#           6       0.00000      9.69      8.00     4   3.2246
#           8       0.00000     20.88      4.00     2   3.3160
#           9       0.00000      4.86      8.00     3   3.4545
#          10       0.00000     35.64      8.00     2   3.5501
#          11       0.00000     24.13      4.00     2   3.6339
#          12       0.00000     18.42      4.00     2   3.6339
#          13       0.00000     32.29      8.00     3   3.6946
#          14       0.00000     14.19      4.00     4   3.7552
#          15       0.00000      9.25     16.00     3   3.8895
#          16       0.00000      9.57     16.00     3   4.0065
#          17       0.00000      4.94      4.00     4   4.0339
#          18       0.00000     13.18      4.00     2   4.0346
#          19       0.00000     23.45      8.00     3   4.0942
#          20       0.00000     11.75      4.00     4   4.1539
#          21       0.00000      5.05     16.00     4   4.1893
#          23       0.00000      9.79      8.00     4   4.3447
#          24       0.00000     21.75      8.00     2   4.3724
#          25       0.00000      6.78     16.00     3   4.3982
#    23/  25 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    10.3000   -1.720179E-02  2.080787E-02  2.924754E+01
    10.3500   -1.793620E-02  1.908097E-02  2.949698E+01
    10.4000   -1.715090E-02  1.723621E-02  2.974560E+01
    10.4500   -1.513318E-02  1.530052E-02  2.999316E+01
    10.5000   -1.228175E-02  1.330170E-02  3.023928E+01
    10.5500   -9.050200E-03  1.126792E-02  3.048331E+01
    10.6000   -5.886904E-03  9.227385E-03  3.072405E+01
    10.6500   -3.179250E-03  7.208003E-03  3.095913E+01
    10.7000   -1.209365E-03  5.237510E-03  3.118292E+01
    10.7500   -1.265365E-04  3.345184E-03  3.137809E+01
    10.8000    6.095264E-05  1.577250E-03  3.145458E+01
    10.8500   -5.254178E-04  5.394866E-04  3.007401E+01
    10.9000   -1.662350E-03  1.833352E-03  2.940979E+01
    10.9500   -3.064560E-03  3.215741E-03  2.953728E+01
    11.0000   -4.430281E-03  4.454552E-03  2.974069E+01
    11.0500   -5.548492E-03  5.592887E-03  2.997121E+01
    11.1000   -6.132692E-03  6.560618E-03  3.020831E+01
    11.1500   -6.053681E-03  7.350201E-03  3.044818E+01
    11.2000   -5.287698E-03  7.957365E-03  3.068910E+01
    11.2500   -3.913756E-03  8.380850E-03  3.093005E+01
    11.3000   -2.096393E-03  8.622268E-03  3.117033E+01
    11.3500   -5.715509E-05  8.685973E-03  3.140935E+01
    11.4000    1.960483E-03  8.578912E-03  3.164649E+01
    11.4500    3.727350E-03  8.310472E-03  3.188103E+01
    11.5000    5.060721E-03  7.892319E-03  3.211201E+01
    11.5500    5.847995E-03  7.338275E-03  3.233810E+01
    11.6000    6.058999E-03  6.664287E-03  3.255722E+01
    11.6500    5.745808E-03  5.888647E-03  3.276602E+01
    11.7000    5.030808E-03  5.032806E-03  3.295855E+01
    11.7500    4.085377E-03  4.123814E-03  3.312336E+01
    11.8000    3.102711E-03  3.201645E-03  3.323597E+01
    11.8500    2.268973E-03  2.343220E-03  3.323913E+01
    11.9000    1.736875E-03  1.737775E-03  3.301890E+01
    11.9500    1.605224E-03  1.729298E-03  3.260561E+01
    12.0000    1.906865E-03  2.327189E-03  3.237626E+01
    12.0500    2.624611E-03  3.206788E-03  3.237464E+01
    12.1000    3.649475E-03  4.164511E-03  3.248411E+01
    12.1500    4.830510E-03  5.126784E-03  3.264509E+01
    12.2000    5.988154E-03  6.060167E-03  3.283241E+01
    12.2500    6.938003E-03  6.945900E-03  3.303441E+01
    12.3000    7.513915E-03  7.772016E-03  3.324516E+01
    12.3500    7.587625E-03  8.530496E-03  3.346133E+01
    12.4000    7.082779E-03  9.216056E-03  3.368098E+01
    12.4500    5.982245E-03  9.825508E-03  3.390291E+01
    12.5000    4.328539E-03  1.035735E-02  3.412637E+01
    12.5500    2.218082E-03  1.081146E-02  3.435089E+01
    12.6000   -2.094022E-04  1.118878E-02  3.457624E+01
    12.6500   -2.784676E-03  1.149108E-02  3.480229E+01
    12.7000   -5.324256E-03  1.172072E-02  3.502906E+01
